Code__c,Name,IsActive__c
6642,ROAD FREIGHT FORWARDING,TRUE
6643,FREIGHT FORWARDING (EXCEPT ROAD),TRUE
6644,CUSTOMS AGENCY SERVICE,TRUE
6649,SERVICES TO TRANSPORT n.e.c.,TRUE
6701,GRAIN STORAGE,TRUE
6702,Cool/Cold Storage,TRUE
6709,STORAGE n.e.c.,TRUE
7111,POSTAL SERVICES,TRUE
7112,COURIER SERVICES,TRUE
7120,TELECOMMUNICATIONS SERVICES,TRUE
7310,CENTRAL BANKS,TRUE
7326,NZ Banks (M3),TRUE
7330,OTHER FINANCIERS,TRUE
7331,TERMINATING BUILDING SOCIETIES,TRUE
7332,CO-OPERATIVE HOUSING SOCIETIES,TRUE
7339,FINANCIERS n.e.c.,TRUE
7341,HOLDING COMPANY OPERATION,TRUE
7342,FRIENDLY SOCIETY OPERATION,TRUE
7347,PERSONAL NON-PROPERTY INVESTORS – FINANCIAL INSTITUTION,TRUE
7348,PERSONAL NON-PROPERTY INVESTORS – CORPORATE,TRUE
7349,SMSF & PERSONAL NON-PROPERTY INVESTORS,TRUE
7351,MERCHANT BANKS,TRUE
7352,BANKS - AUSTRALASIAN & OECD,TRUE
7353,BANKS - NON-OECD,TRUE
7354,BANKS n.e.c.,TRUE
7355,AUTHORISED MONEY MARKET DEALERS,TRUE
7356,MONEY MARKET DEALERS n.e.c.,TRUE
7357,BUILDING SOCIETIES,TRUE
7358,CREDIT UNIONS,TRUE
7359,DEPOSIT TAKING FINANCIERS n.e.c.,TRUE
7411,LIFE INSURANCE,TRUE
7412,SUPERANNUATION FUNDS,TRUE
7421,HEALTH INSURANCE,TRUE
7422,GENERAL INSURANCE,TRUE
7511,FINANCIAL ASSET BROKING SERVICES,TRUE
7512,FUND MANAGERS,TRUE
7513,PROPERTY TRUST MANAGERS,TRUE
7518,DECEASED ESTATES,TRUE
7519,SERVICES TO FINANCE & INVESTMENT n.e.c.,TRUE
7520,SERVICES TO INSURANCE,TRUE
7713,RETIREMENT VILLAGE OPERATORS,TRUE
7714,RESIDENTIAL PROPERTY OPERATORS (EXCEPT RETIREMENT VILLAGES),TRUE
7715,RETIREMENT VILLAGE DEVELOPERS,TRUE
